reaction_id,reactant_combination,response equation,*,*CCO,*CH2C,*CH2CH,*CH2CH2O,*CH2CH2OH,*CH2CHOH,*CH2CO,*CH2COH,*CH2OCH2OH,*CH2OCOH,*CH2OHCH2,*CH2OHCH2O,*CH2OHCOH,*CHCO,*CHO,*CHOCH2O,*CHOCH2OH,*CHOCHO,*CHOCHOH,*CHOCOH,*CHOHCH2,*CHOHCH2O,*CHOHCH2OH,*CHOHCHOH,*CHOHCOH,*CO,*CO2,*COCH2OH,*COCHO,*COCHOH,*COCO,*COCOH,*COH,*COHCH2O,*COHCH2OH,*COHCHO,*COHCHOH,*COHCO,*COHCOH,*COOH,CH2CH2,CH2OHCH2OH,CH3CH2OH,CO2,free_energy,Delta_G (eV)
REACT_015,*COHCH2O,*COHCH2O + H+ + e- -> *COHCH2OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,-0.6015,0.0
REACT_016,*COHCH2OH,*COHCH2OH + H+ + e- -> *CHOHCH2OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-0.4852,0.0
REACT_017,*CHOHCH2OH,*CHOHCH2OH + H+ + e- -> CH2OHCH2OH + *,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-1.1691,0.0
REACT_018,*+CH2OHCH2OH,* + CH2OHCH2OH + H+ + e- -> *CH2OHCH2 + H2O,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0.4672,0.0
REACT_019,*CH2OHCH2,*CH2OHCH2 + H+ + e- -> CH2CH2 + *H2O,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1.4043,0.0
REACT_020,*COCHO,*COCHO + H+ + e- -> *COHCHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.9108,0.9108
REACT_021,*CHOCHO,*CHOCHO + H+ + e- -> *CHOCH2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1258,598.7645
REACT_022,*CHOCH2O,*CHOCH2O + H+ + e- -> *CHOHCH2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8899,0.0
REACT_023,*CHOHCH2O,*CHOHCH2O + H+ + e- -> *CH2OHCH2O,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5732,0.0
REACT_024,*CH2OHCH2O,*CH2OHCH2O + H+ + e- -> CH2OHCH2OH + *,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-1.5797,0.0
REACT_025,*CHOHCH2O,*CHOHCH2O + H+ + e- -> *CHOHCH2OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1625,0.0
REACT_026,*CH2OHCH2O,*CH2OHCH2O + H+ + e- -> *CH2CH2O + H2O,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6918,0.0
REACT_027,*CH2CH2O,*CH2CH2O + H+ + e- -> *CH2CH2OH,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.549,0.0
REACT_028,*CH2CH2OH,*CH2CH2OH + H+ + e- -> *H2O + CH2CH2,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1.3739,0.0
REACT_029,*COCHO,*COCHO + H+ + e- -> *COCHOH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3922,-0.3922
REACT_030,*COCHOH,*COCHOH + H+ + e- -> *CHOCHOH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.721,-0.721
REACT_031,*COHCHOH,*COHCHOH + H+ + e- -> *CHOHCHOH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-2.311,-2.311
REACT_032,*COHCHOH,*COHCHOH + H+ + e- -> *COHCH2OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,-0.8901,601.3582
REACT_033,*COHCO,*COHCO + H+ + e- -> *COHCOH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,-0.4064,-0.4064
REACT_034,*COHCOH,*COHCOH + H+ + e- -> *COHCHOH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0.1119,0.1119
REACT_035,*COHCOH,*COHCOH + H+ + e- -> *CHOHCOH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0.1219,0.1219
REACT_036,*CHOHCOH,*CHOHCOH + H+ + e- -> *CHOHCHOH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.321,-2.321
REACT_037,*CHOHCOH,*CHOHCOH + H+ + e- -> *CH2OHCOH,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9001,601.3482
REACT_038,*COCOH,*COCOH + H+ + e- -> *CHOCOH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-0.4488,-0.4488
REACT_039,*CHOCOH,*CHOCOH + H+ + e- -> *CHOCHOH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0769,-1.0769
REACT_040,*CHOCHOH,*CHOCHOH + H+ + e- -> *CHOCH2OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8779,603.0199
REACT_041,*CHOCH2OH,*CHOCH2OH + H+ + e- -> *CH2OCH2OH,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5749,0.0
REACT_042,*CH2OCH2OH,*CH2OCH2OH + H+ + e- -> CH2OHCH2OH + *,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-1.5797,0.0
REACT_043,*CHOCH2OH,*CHOCH2OH + H+ + e- -> *CHOHCH2OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1642,0.0
REACT_044,*COHCHO,*COHCHO + H+ + e- -> *CHOHCOH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-0.3522,-0.3522
REACT_045,*CHOCOH,*CHOCOH + H+ + e- -> *CH2OCOH,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4129,598.5755
REACT_046,*CH2OCOH,*CH2OCOH + H+ + e- -> *CH2OHCOH,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7183,0.0
REACT_047,*CH2OHCOH,*CH2OHCOH + H+ + e- -> *CH2COH + H2O,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7072,0.0
REACT_048,*CH2COH,*CH2COH + H+ + e- -> *CH2CHOH,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.7832,0.0
REACT_049,*CH2CHOH,*CH2CHOH + H+ + e- -> *CH2CH2OH,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2731,0.0
REACT_050,*CHOHCH2OH,*CHOHCH2OH + H+ + e- -> *CHOHCH2 + H2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8761,0.0
REACT_051,*CHOHCH2,*CHOHCH2 + H+ + e- -> *CH2CH + H2O,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4342,600.4851
REACT_052,*CH2COH,*CH2COH + H+ + e- -> *CH2C + H2O,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6434,0.0
REACT_053,*CH2C,*CH2C + H+ + e- -> *CH2CH,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4235,0.0
REACT_054,*CH2CH,*CH2CH + H+ + e- -> * + CH2CH2,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1.8826,0.0
REACT_055,*COCOH,*COCOH + H+ + e- -> *CCO + H2O,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-0.9948,594.7592
REACT_056,*CCO,*CCO + H+ + e- -> *CHCO,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3291,0.3291
REACT_057,*CHCO,*CHCO + H+ + e- -> *CH2CO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.839,587.9329
REACT_058,*CH2CO,*CH2CO + H+ + e- -> *CH2COH,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0434,0.0
REACT_059,*CH2CHOH,*CH2CHOH + H+ + e- -> *CH2CH + H2O,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5634,0.0
REACT_060,*CH2CH2OH,*CH2CH2OH + H+ + e- -> CH3CH2OH + *,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1.5649,0.0
REACT_061,*COCO,*COCO + H+ + e- -> *COCOH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,9.8379,9.8379
REACT_062,*COCOH,*COCOH + H+ + e- -> *COCHOH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-0.8047,-0.8047
REACT_063,*COCHOH,*COCHOH + H+ + e- -> *COCH2OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4286,598.9314
REACT_064,*COCH2OH,*COCH2OH + H+ + e- -> *CHOCH2OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1703,0.0
