reaction_id,reactant_combination,response equation,free_energy,*CCO,*CH2C,*CH2CH,*CH2CH2O,*CH2CH2OH,*CH2CHOH,*CH2CO,*CH2COH,*CH2OCH2OH,*CH2OCOH,*CH2OHCH2,*CH2OHCH2O,*CH2OHCOH,*CHCO,*CHO,*CHOCH2O,*CHOCH2OH,*CHOCHO,*CHOCHOH,*CHOCOH,*CHOHCH2,*CHOHCH2O,*CHOHCH2OH,*CHOHCHOH,*CHOHCOH,*CO,*CO2,*COCH2OH,*COCHO,*COCHOH,*COCO,*COCOH,*COH,*COHCH2O,*COHCH2OH,*COHCHO,*COHCHOH,*COHCO,*COHCOH,*COOH,CH2CH2,CH2OHCH2OH,CH3CH2OH,CO2
REACT_021,*CH2CH2O,*CH2CH2O + H+ + e- -> *CH2CH2OH,0.549,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REACT_022,*CH2CH2OH,*CH2CH2OH + H+ + e- -> *H2O + CH2CH2,-1.3739,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
REACT_023,*COCHO,*COCHO + H+ + e- -> *COCHOH,-0.3922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REACT_024,*COCHOH,*COCHOH + H+ + e- -> *CHOCHOH,-0.721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REACT_025,*COHCHOH,*COHCHOH + H+ + e- -> *CHOHCHOH,-2.311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
REACT_026,*COHCHOH,*COHCHOH + H+ + e- -> *COHCH2OH,-0.8901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0
REACT_027,*COHCO,*COHCO + H+ + e- -> *COHCOH,-0.4064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0
REACT_028,*COHCOH,*COHCOH + H+ + e- -> *COHCHOH,0.1119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0
REACT_029,*COHCOH,*COHCOH + H+ + e- -> *CHOHCOH,0.1219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
REACT_030,*CHOHCOH,*CHOHCOH + H+ + e- -> *CHOHCHOH,-2.321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REACT_031,*CHOHCOH,*CHOHCOH + H+ + e- -> *CH2OHCOH,-0.9001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REACT_032,*COCOH,*COCOH + H+ + e- -> *CHOCOH,-0.4488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
REACT_033,*CHOCOH,*CHOCOH + H+ + e- -> *CHOCHOH,-1.0769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REACT_034,*CHOCHOH,*CHOCHOH + H+ + e- -> *CHOCH2OH,-0.8779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REACT_035,*CHOCH2OH,*CHOCH2OH + H+ + e- -> *CH2OCH2OH,1.5749,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REACT_036,*CH2OCH2OH,*CH2OCH2OH + H+ + e- -> CH2OHCH2OH + *,-1.5797,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
REACT_037,*CHOCH2OH,*CHOCH2OH + H+ + e- -> *CHOHCH2OH,1.1642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REACT_038,*COHCHO,*COHCHO + H+ + e- -> *CHOHCOH,-0.3522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
REACT_039,*CHOCOH,*CHOCOH + H+ + e- -> *CH2OCOH,2.4129,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REACT_040,*CH2OCOH,*CH2OCOH + H+ + e- -> *CH2OHCOH,-2.7183,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REACT_041,*CH2OHCOH,*CH2OHCOH + H+ + e- -> *CH2COH + H2O,-0.7072,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REACT_042,*CH2COH,*CH2COH + H+ + e- -> *CH2CHOH,-1.7832,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REACT_043,*CH2CHOH,*CH2CHOH + H+ + e- -> *CH2CH2OH,1.2731,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REACT_044,*CHOHCH2OH,*CHOHCH2OH + H+ + e- -> *CHOHCH2 + H2O,-1.8761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REACT_045,*CHOHCH2,*CHOHCH2 + H+ + e- -> *CH2CH + H2O,1.4342,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REACT_046,*CH2COH,*CH2COH + H+ + e- -> *CH2C + H2O,-1.6434,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REACT_047,*CH2C,*CH2C + H+ + e- -> *CH2CH,1.4235,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REACT_048,*CH2CH,*CH2CH + H+ + e- -> * + CH2CH2,-1.8826,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
REACT_049,*COCOH,*COCOH + H+ + e- -> *CCO + H2O,-0.9948,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
REACT_050,*CCO,*CCO + H+ + e- -> *CHCO,0.3291,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REACT_051,*CHCO,*CHCO + H+ + e- -> *CH2CO,-1.839,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REACT_052,*CH2CO,*CH2CO + H+ + e- -> *CH2COH,1.0434,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REACT_053,*CH2CHOH,*CH2CHOH + H+ + e- -> *CH2CH + H2O,1.5634,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REACT_054,*CH2CH2OH,*CH2CH2OH + H+ + e- -> CH3CH2OH + *,-1.5649,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
REACT_055,*COCO,*COCO + H+ + e- -> *COCOH,0.1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0
REACT_056,*COCOH,*COCOH + H+ + e- -> *COCHOH,-0.8047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
REACT_057,*COCHOH,*COCHOH + H+ + e- -> *COCH2OH,-0.1827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REACT_058,*COCH2OH,*COCH2OH + H+ + e- -> *CHOCH2OH,-1.4162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REACT_059,*CO,*CO+ H+ + e- -> *COH,2.9495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
REACT_060,*CO+*CO,*CO + *CO -> *COCO,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
REACT_061,*CHO+*CO,*CO + *CHO -> *COCHO,1.4768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REACT_062,*CO+*COH,*CO + *COH -> *COHCO,-0.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0
REACT_063,*CHO+*CHO,*CHO + *CHO -> *CHOCHO,1.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REACT_064,*COH+*COH,*COH + *COH -> *COHCOH,-2.9506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0
REACT_065,*CHO+*COH,*COH + *CHO -> *COHCHO,-0.2395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0
